################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.1250204481376412E-01 a       190     0    13     1    10
 -6.3677036815374510E-01 a       191     0    13     1    11
  7.2495539959408856E-02 a       192     0    13     1    12
  3.6778180406971334E-01 a       193     0    13     1    13
  6.8120281089860646E-01 a       194     0    13     1    14
 -5.8739067960842561E-01 a       195     0    13     1    15
  1.6170162240886637E-01 a       196     0    14     1     1
  6.7290241818003693E-01 a       197     0    14     1     2
  7.5789441744602426E-01 a       198     0    14     1     3
  9.0523927215755473E-02 a       199     0    14     1     4
 -2.8158589207472146E-01 a       200     0    14     1     5
 -8.4275966555434456E-02 a       201     0    14     1     6
  1.3059430777652947E-01 a       202     0    14     1     7
  1.0079253442024809E+00 a       203     0    14     1     8
  1.5001805144288546E-01 a       204     0    14     1     9
 -5.3498371220263385E-01 a       205     0    14     1    10
 -1.6176491425454078E+00 a       206     0    14     1    11
 -2.6128567698466885E+00 a       207     0    14     1    12
  8.2510006894820936E-02 a       208     0    14     1    13
 -3.4052014599422498E-01 a       209     0    14     1    14
 -5.9260063815279507E-01 a       210     0    14     1    15
 -2.8119073922885168E-01 a       211     0    15     1     1
  1.0994769184273478E-01 a       212     0    15     1     2
  3.1166389064361694E-01 a       213     0    15     1     3
 -2.6185498587125915E+00 a       214     0    15     1     4
 -2.1739275538621944E-01 a       215     0    15     1     5
  8.2560991756083735E-01 a       216     0    15     1     6
  8.1969668753635616E-01 a       217     0    15     1     7
  9.0880460592963563E-01 a       218     0    15     1     8
  1.8624805255126902E+00 a       219     0    15     1     9
 -3.7856611085540925E-01 a       220     0    15     1    10
 -7.8781188123492951E-01 a       221     0    15     1    11
  9.6779399386237086E-01 a       222     0    15     1    12
 -2.0007636003842777E-01 a       223     0    15     1    13
 -4.0398289376352825E-01 a       224     0    15     1    14
 -1.7714150525883224E-01 a       225     0    15     1    15
 -7.7308435054308000E-01 a       226     0    16     1     1
  4.2040046334169601E-01 a       227     0    16     1     2
 -3.9375981264994159E-01 a       228     0    16     1     3
  1.0100780285807691E+00 a       229     0    16     1     4
 -1.6224867861890322E+00 a       230     0    16     1     5
 -1.5276123306664215E+00 a       231     0    16     1     6
 -1.9793708823496199E+00 a       232     0    16     1     7
 -2.9793915148906952E-01 a       233     0    16     1     8
  4.9675051115397362E-01 a       234     0    16     1     9
 -5.3717591030403145E-01 a       235     0    16     1    10
  1.0801947370186369E+00 a       236     0    16     1    11
  2.6931153303100657E+00 a       237     0    16     1    12
 -1.8076427967287073E-01 a       238     0    16     1    13
 -7.3483846471733019E-02 a       239     0    16     1    14
  5.0892611155269574E-01 a       240     0    16     1    15
  2.8096806315850906E-02 a       241     0    17     1     1
  8.4796682094666220E-01 a       242     0    17     1     2
 -2.8803019441642963E-01 a       243     0    17     1     3
  3.1420590589687492E+00 a       244     0    17     1     4
 -3.7365522490674069E-01 a       245     0    17     1     5
 -1.5827924822964279E+00 a       246     0    17     1     6
  1.0726853229258855E+00 a       247     0    17     1     7
 -2.1869224260366087E+00 a       248     0    17     1     8
 -2.6066913617877070E+00 a       249     0    17     1     9
  8.8373470022765088E-01 a       250     0    17     1    10
 -2.3884958371630033E-01 a       251     0    17     1    11
  4.1945430845175719E-01 a       252     0    17     1    12
 -9.9625825154381320E-01 a       253     0    17     1    13
 -6.0469509146898515E-01 a       254     0    17     1    14
  3.7401291139885706E-01 a       255     0    17     1    15
  2.1545774612131918E+00 a       256     0    18     1     1
  1.1529546031385107E-01 a       257     0    18     1     2
  6.3321780902431057E-01 a       258     0    18     1     3
 -3.3726940130757466E-01 a       259     0    18     1     4
 -3.4350412735591990E-01 a       260     0    18     1     5
  3.2644129994854010E-01 a       261     0    18     1     6
 -2.9600543664636197E-01 a       262     0    18     1     7
  8.6023314965768838E-01 a       263     0    18     1     8
  9.0070438986523438E-01 a       264     0    18     1     9
 -1.3326065378765795E+00 a       265     0    18     1    10
 -1.0021760129675192E+00 a       266     0    18     1    11
 -7.8339941759744502E-01 a       267     0    18     1    12
 -4.8172074295998812E-01 a       268     0    18     1    13
 -1.3443792044767848E+00 a       269     0    18     1    14
  9.9988491796847656E-02 a       270     0    18     1    15
  1.4363250585187706E+00 a       271     0    19     1     1
 -2.7453635175432400E-01 a       272     0    19     1     2
 -2.1115716437183436E+00 a       273     0    19     1     3
 -6.5863860555635356E-01 a       274     0    19     1     4
 -1.0054556323142456E-01 a       275     0    19     1     5
 -2.3454148148609018E+00 a       276     0    19     1     6
  1.9453709776838723E+00 a       277     0    19     1     7
 -1.9614463791257581E+00 a       278     0    19     1     8
 -1.3712914410408650E+00 a       279     0    19     1     9
  7.5276434041025919E-01 a       280     0    19     1    10
 -3.2044794610190552E-01 a       281     0    19     1    11
 -4.8759903535637583E-01 a       282     0    19     1    12
  6.9503287406506387E-01 a       283     0    19     1    13
  1.9174032027234844E+00 a       284     0    19     1    14
 -1.1255836190037101E+00 a       285     0    19     1    15
  1.1957992844040705E-01 a       286     0    20     1     1
 -3.9994993253303640E-01 a       287     0    20     1     2
 -2.6568716250944031E+00 a       288     0    20     1     3
  1.1372779463192122E+00 a       289     0    20     1     4
  3.2849947210769359E-01 a       290     0    20     1     5
 -1.3640652771499155E+00 a       291     0    20     1     6
 -1.7804626049655998E+00 a       292     0    20     1     7
  1.6371513221111489E-01 a       293     0    20     1     8
  2.2699891717259077E-01 a       294     0    20     1     9
 -6.3213628512909281E-01 a       295     0    20     1    10
  1.5019480328978885E+00 a       296     0    20     1    11
  5.3553891256579567E-01 a       297     0    20     1    12
 -1.0146739955984139E+00 a       298     0    20     1    13
  2.6568031275024873E-01 a       299     0    20     1    14
 -8.6494761479500104E-01 a       300     0    20     1    15
  1.3170980611354559E+00 a       301     0    21     1     1
  2.4206853028976036E+00 a       302     0    21     1     2
 -1.2576502289819779E-02 a       303     0    21     1     3
  1.1982562368789613E+00 a       304     0    21     1     4
 -1.5404040486396349E+00 a       305     0    21     1     5
  3.0594578898288888E-01 a       306     0    21     1     6
 -2.8460576631910234E-02 a       307     0    21     1     7
  1.2189582897618980E+00 a       308     0    21     1     8
 -1.0297295776297171E+00 a       309     0    21     1     9
 -2.7162166267794579E+00 a       310     0    21     1    10
 -9.3360757855282928E-01 a       311     0    21     1    11
  6.4064874090377977E-02 a       312     0    21     1    12
  1.3235684087167487E+00 a       313     0    21     1    13
  1.8726061418160073E-01 a       314     0    21     1    14
 -1.5001867461147519E-01 a       315     0    21     1    15
  1.6215671674210743E+00 a       316     0    22     1     1
  8.8614385296471632E-01 a       317     0    22     1     2
  4.3323094930641293E-01 a       318     0    22     1     3
  1.6511787911939533E+00 a       319     0    22     1     4
  1.3141470095787680E+00 a       320     0    22     1     5
  1.8344424648270949E+00 a       321     0    22     1     6
 -1.0556228289862291E+00 a       322     0    22     1     7
 -4.1446802010304923E-01 a       323     0    22     1     8
 -6.9280869898040470E-02 a       324     0    22     1     9
  7.5376534684461327E-01 a       325     0    22     1    10
 -7.6083767660957369E-02 a       326     0    22     1    11
 -1.9534460211679541E+00 a       327     0    22     1    12
  1.1245146712316432E+00 a       328     0    22     1    13
 -1.4148312930430880E+00 a       329     0    22     1    14
  6.3859629742267021E-01 a       330     0    22     1    15
 -1.6723258531835943E+00 a       331     0    23     1     1
 -1.3304153523916231E+00 a       332     0    23     1     2
  8.1259218523029164E-01 a       333     0    23     1     3
  2.2762750681196282E+00 a       334     0    23     1     4
 -1.1222088909810837E+00 a       335     0    23     1     5
 -1.9565680663079965E+00 a       336     0    23     1     6
  1.5104918616348517E+00 a       337     0    23     1     7
 -3.9001093517644991E-01 a       338     0    23     1     8
 -1.0719194342773815E+00 a       339     0    23     1     9
  1.5357134787536988E+00 a       340     0    23     1    10
 -1.3536986218120513E+00 a       341     0    23     1    11
  1.4346005762391203E+00 a       342     0    23     1    12
 -1.0006131419308257E+00 a       343     0    23     1    13
 -1.4349234350047926E+00 a       344     0    23     1    14
  1.9959026396627260E+00 a       345     0    23     1    15
  9.6292874950370672E-02 a       346     0    24     1     1
  2.4436235536858031E-01 a       347     0    24     1     2
 -1.9187450171471299E+00 a       348     0    24     1     3
 -9.1643183008701345E-01 a       349     0    24     1     4
 -6.6653678477273981E-01 a       350     0    24     1     5
 -6.3372007332282687E-01 a       351     0    24     1     6
  2.7982628730789449E-01 a       352     0    24     1     7
 -9.5783246850529680E-01 a       353     0    24     1     8
 -2.7399524579397949E-01 a       354     0    24     1     9
 -1.1096604132812706E+00 a       355     0    24     1    10
  9.8815131114563770E-01 a       356     0    24     1    11
 -4.5508892339941565E-01 a       357     0    24     1    12
  5.2778500995466038E-01 a       358     0    24     1    13
 -5.8523834546039888E-01 a       359     0    24     1    14
 -2.0389978664026711E+00 a       360     0    24     1    15
  1.6145265920756051E+00 a       361     0    25     1     1
  9.8432007280946265E-01 a       362     0    25     1     2
  6.7640190565080949E-01 a       363     0    25     1     3
  6.8468255485919849E-01 a       364     0    25     1     4
  3.3034326976800982E-01 a       365     0    25     1     5
 -3.7240380164926057E-01 a       366     0    25     1     6
  1.1232219892305431E+00 a       367     0    25     1     7
  1.3769044362379146E+00 a       368     0    25     1     8
 -1.2928275217322813E-01 a       369     0    25     1     9
  7.4087232761540830E-03 a       370     0    25     1    10
 -5.0477267393160230E-01 a       371     0    25     1    11
  1.5188920281319968E-01 a       372     0    25     1    12
  1.3534908361183264E+00 a       373     0    25     1    13
  2.0675872416381932E-01 a       374     0    25     1    14
 -1.6547048753113726E-02 a       375     0    25     1    15
 -6.7251610926878258E-01 a       376     0    26     1     1
  6.5888792801729723E-01 a       377     0    26     1     2
  2.4961496142985357E-01 a       378     0    26     1     3
 -3.5149891837148228E-01 a       379     0    26     1     4
 -2.9604227893398105E-01 a       380     0    26     1     5
 -1.6240376877287028E+00 a       381     0    26     1     6
  8.5090084764046137E-01 a       382     0    26     1     7
  5.9384317301639433E-01 a       383     0    26     1     8
  3.7817151104462116E-01 a       384     0    26     1     9
  1.1710173792738045E-01 a       385     0    26     1    10
 -9.0021949140927415E-01 a       386     0    26     1    11
 -7.0367024784021892E-01 a       387     0    26     1    12
 -1.0060265620722393E+00 a       388     0    26     1    13
 -6.6486003735346311E-01 a       389     0    26     1    14
  1.3147728961980063E+00 a       390     0    26     1    15
  7.4671434060072761E-01 a       391     0    27     1     1
  8.2724651619022249E-01 a       392     0    27     1     2
  1.9223062357203460E+00 a       393     0    27     1     3
 -1.6158686974008645E+00 a       394     0    27     1     4
  1.5482104511429371E+00 a       395     0    27     1     5
 -1.2217574953098562E-01 a       396     0    27     1     6
  6.5296641369252784E-01 a       397     0    27     1     7
 -4.7889165234119746E-01 a       398     0    27     1     8
  1.8332839122370768E+00 a       399     0    27     1     9
 -7.2896179110399928E-01 a       400     0    27     1    10
 -9.1305385268691930E-01 a       401     0    27     1    11
 -2.0388571548308452E+00 a       402     0    27     1    12
 -1.0102195546157871E+00 a       403     0    27     1    13
  5.9450181182757944E-01 a       404     0    27     1    14
  1.0806485795417240E+00 a       405     0    27     1    15
  1.6593698794505221E+00 a       406     0    28     1     1
 -2.3080382261676071E+00 a       407     0    28     1     2
  8.1731528446370616E-01 a       408     0    28     1     3
  1.4221611130389105E+00 a       409     0    28     1     4
 -1.9343426042978937E+00 a       410     0    28     1     5
 -1.8169031002472138E+00 a       411     0    28     1     6
 -2.4409450887444695E-01 a       412     0    28     1     7
  1.5539079398057243E-01 a       413     0    28     1     8
 -9.3425294016112359E-01 a       414     0    28     1     9
  8.1985024605907775E-01 a       415     0    28     1    10
 -3.8619949740919646E-01 a       416     0    28     1    11
  1.3638324072314907E+00 a       417     0    28     1    12
 -1.6311419397252835E+00 a       418     0    28     1    13
  3.4748675892678249E+00 a       419     0    28     1    14
  1.0977200136381073E+00 a       420     0    28     1    15
  1.0422140891660507E+00 a       421     0    29     1     1
 -2.2417702412226750E-01 a       422     0    29     1     2
 -2.5953851776661874E-01 a       423     0    29     1     3
  2.9744346081346223E-01 a       424     0    29     1     4
  1.4447013177882662E+00 a       425     0    29     1     5
 -1.2288347052338444E-01 a       426     0    29     1     6
 -1.4044320318997777E-01 a       427     0    29     1     7
  4.1512135647120540E-01 a       428     0    29     1     8
  1.8187704942709830E+00 a       429     0    29     1     9
 -3.9666902072542837E-01 a       430     0    29     1    10
  2.2401443682699571E+00 a       431     0    29     1    11
  3.8397881938370743E-01 a       432     0    29     1    12
 -1.3688339041046266E-01 a       433     0    29     1    13
  8.2097163138640994E-01 a       434     0    29     1    14
 -1.0764921652869341E+00 a       435     0    29     1    15
 -3.1465320221656601E-01 a       436     0    30     1     1
  1.7883835831021805E-01 a       437     0    30     1     2
  7.4291759792472267E-01 a       438     0    30     1     3
  5.2967689203136881E-01 a       439     0    30     1     4
 -6.1827765987214034E-01 a       440     0    30     1     5
  3.4121167722944151E-01 a       441     0    30     1     6
  4.9278102040079574E-01 a       442     0    30     1     7
  1.2357895314155769E+00 a       443     0    30     1     8
  6.2987379688920675E-01 a       444     0    30     1     9
  9.0609138051544980E-01 a       445     0    30     1    10
  4.7911950507718398E-01 a       446     0    30     1    11
 -4.0005375148412869E-01 a       447     0    30     1    12
 -1.5137032814294693E+00 a       448     0    30     1    13
  6.9266458963858379E-01 a       449     0    30     1    14
  4.3294442216911511E-01 a       450     0    30     1    15
 -3.3980319525583460E+00 a       451     0    31     1     1
  1.0698664032720189E+00 a       452     0    31     1     2
 -2.4972644802200553E-01 a       453     0    31     1     3
  5.8915036009608901E-01 a       454     0    31     1     4
  2.3099433719484884E-02 a       455     0    31     1     5
  3.6141762338173522E-01 a       456     0    31     1     6
  1.8538067171689296E+00 a       457     0    31     1     7
 -8.5473467064985087E-01 a       458     0    31     1     8
  1.7025096456738498E-01 a       459     0    31     1     9
  9.6979063138329491E-01 a       460     0    31     1    10
  2.5332008894327546E-02 a       461     0    31     1    11
 -1.3122686655512468E+00 a       462     0    31     1    12
 -7.7886866309025860E-02 a       463     0    31     1    13
 -1.5078570284487972E-01 a       464     0    31     1    14
 -1.5581126339549551E+00 a       465     0    31     1    15
 -5.9675990455721162E-01 a       466     0    32     1     1
 -5.6860307985663372E-01 a       467     0    32     1     2
 -1.6423151667061588E+00 a       468     0    32     1     3
  1.1599597603733958E+00 a       469     0    32     1     4
  2.1268790541243321E-01 a       470     0    32     1     5
 -1.7221614705975590E+00 a       471     0    32     1     6
 -1.4157150689602347E+00 a       472     0    32     1     7
 -3.8307484168154210E-01 a       473     0    32     1     8
  1.7228631318649863E+00 a       474     0    32     1     9
  1.4846636460569473E+00 a       475     0    32     1    10
  9.0871870886876249E-01 a       476     0    32     1    11
 -1.5964617218744345E-01 a       477     0    32     1    12
 -9.7015627063097493E-02 a       478     0    32     1    13
  3.1410543158898718E-01 a       479     0    32     1    14
 -5.0091174237931502E-01 a       480     0    32     1    15
  1.2218475517696028E+00 a       481     0    33     1     1
  1.0483236563689782E+00 a       482     0    33     1     2
  1.5214558880351914E-01 a       483     0    33     1     3
  1.6549190661146607E+00 a       484     0    33     1     4
 -2.6933053909356404E+00 a       485     0    33     1     5
 -4.8641611211494884E-01 a       486     0    33     1     6
 -7.9316720733580737E-01 a       487     0    33     1     7
  7.7327147506215510E-01 a       488     0    33     1     8
  7.1315369025981101E-01 a       489     0    33     1     9
 -3.0292131272852649E+00 a       490     0    33     1    10
 -1.2777651931935305E-01 a       491     0    33     1    11
 -7.3677895784370284E-01 a       492     0    33     1    12
  4.7536922151753952E-01 a       493     0    33     1    13
 -8.6602365090410127E-01 a       494     0    33     1    14
 -2.4350693009979780E+00 a       495     0    33     1    15
 -2.6177132157360239E-01 a       496     0    34     1     1
  4.4209456701019872E-01 a       497     0    34     1     2
  7.0183428197949682E-01 a       498     0    34     1     3
  2.8949116546225623E-01 a       499     0    34     1     4
  1.5098525145025699E+00 a       500     0    34     1     5
  2.1154074974227575E+00 a       501     0    34     1     6
  4.0817725035402402E-01 a       502     0    34     1     7
  5.3310343352382966E-02 a       503     0    34     1     8
 -7.0252789016092976E-01 a       504     0    34     1     9
 -8.2618171636558779E-01 a       505     0    34     1    10
 -1.2656423825120573E+00 a       506     0    34     1    11
 -1.8763344741894918E+00 a       507     0    34     1    12
 -2.3388245778175720E-01 a       508     0    34     1    13
 -2.9450867360261306E+00 a       509     0    34     1    14
  7.9426654721789047E-01 a       510     0    34     1    15
 -1.3897705651433331E-01 a       511     0    35     1     1
